seed,k,auc
8,45,0.7940538304477439
8,47,0.7929687583005217
8,49,0.7966579965045149
8,51,0.7848307404020842
9,1,0.586206886
9,3,0.6306896599114826
9,5,0.6304023095361091
9,7,0.7029310456148735
9,9,0.7404597820224195
9,11,0.7834482879359942
9,13,0.7845402394544252
9,15,0.8360919636159195
9,17,0.9048275996966607
9,19,0.9122413929408102
9,21,0.9014367945561262
9,23,0.8721839216141494
9,25,0.8793678306596608
9,27,0.8358620821909539
9,29,0.8220115078595345
9,31,0.8124712781801666
9,33,0.8370689802591207
9,35,0.857988521746908
9,37,0.8627011649787699
9,39,0.8626436890418907
9,41,0.8533908177835287
9,43,0.8414942682087413
9,45,0.8388505892538275
9,47,0.8277011652094481
9,49,0.8315517414584368
9,51,0.8372413972781838
10,1,0.6318181776499999
10,3,0.6596694152555785
10,5,0.6764462725564464
10,7,0.6959504025236778
10,9,0.7399173411521902
10,11,0.74206610107343
10,13,0.7639669258607853
10,15,0.792727254608182
10,17,0.8142975011815705
10,19,0.8395867554818599
10,21,0.88570245505843
10,23,0.8948760084826037
10,25,0.8974379915001658
10,27,0.9085123709635128
10,29,0.9252892294007442
10,31,0.9433884017965706
10,33,0.9500826163937195
10,35,0.9466115422370666
10,37,0.947024765495207
10,39,0.9495041041785954
10,41,0.9485123685571493
10,43,0.9561156737211162
10,45,0.9638016236442567
10,47,0.9608264175071906
10,49,0.9549586492858683
10,51,0.9515702194611161
